Txid,Block# ,Date(GMT),Sender,Recipient,Amount,Token,Fee,Remark
0xd56875cdd30214e8acff80af3642a84d58cf8aa19f47982cb075dbf840c38215,19401592,2024-08-25 00:01:10,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,7.462653,VVET,0,received 7.462653 VVET
0x65efa1317ab3fcea27f1a7bfbbb8c5f622288f1a187e5fd98ba99750fce27b04,19401929,2024-08-25 00:57:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-307.046805210840265034,VVET,0,sent 307.046805210840265034 VVET
0xb47d3cb8c27391b84553759f2392efe33bb922e8fc271e77efe10067d8b0c1de,19401930,2024-08-25 00:57:30,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-92.85302292973343906,VVET,0,sent 92.85302292973343906 VVET
0xae28731f52c7cba975f38c88c45f0edd8ffdd3c2e8bc8262463da3700ec13b2e,19401954,2024-08-25 01:01:30,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-377.474969492679980148,VVET,0,sent 377.474969492679980148 VVET
0x79ced3fc2bb1cbf6b107add872d54c5aeb9539b96cdcb879fda1b0df4718f600,19402828,2024-08-25 03:27:10,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-131.467091067299850632,VVET,0,sent 131.467091067299850632 VVET
0x50378eb657a83bfa90ab86b1b95a8c8e04405bfc390398731d55393aa05f14d9,19403253,2024-08-25 04:38:00,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,654,VVET,0,received 654 VVET
0x115321f690a41bf34c72992fde0db060e8f0ef8a6a5faee6ae7cd05790bcd2c7,19403631,2024-08-25 05:41:00,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,370,VVET,0,received 370 VVET
0xfb0965c5ff88039d5c9363ffb06c27ac3768524b267028cb36fa1f9f3b7175c2,19404075,2024-08-25 06:55:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-260.957307903532807391,VVET,0,sent 260.957307903532807391 VVET
0x5b2f5d5147b46f92cec149a8d3c954397c83eca36ef72eb73bf00e2819692a8e,19404098,2024-08-25 06:58:50,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-113.441537209674361596,VVET,0,sent 113.441537209674361596 VVET
0xb891bb036ceea2dfc54445ea6bfec7b57323f29707ff21df4a8f8043d432e14b,19404394,2024-08-25 07:48:10,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,1890.606487,VVET,0,received 1890.606487 VVET
